TAXON,SPECIES,SUBSPECIES,DISSECTED.BY.MOUNTAINS,LAT.RANGE,ENV.SHIELDING,GLACIATION,ISLAND.DWELLING,HABITAT.HETEROGENEITY,BODY.SIZE,MEAN.PRECIP,VARIANCE.PRECIP,PREDICTABILITY.PRECIP,MEAN.TEMP,VARIANCE.TEMP,PREDICTABILITY.TEMP,NPP,BREEDING.RANGE.AREA,ENV.HARSHNESS,GEOGRAPHIC.COVERAGE,RAINFALL.UNPREDICTABILITY,RESIDUAL.BODY.SIZE,SOURCE.HIBERNATION.DATA,N.MOST.LAT,S.MOST.LAT,CENTROID
birds,Crateroscelis_murina,5,TRUE,Tropical,0,0,1,1,15,259.2140421,10033.27825,0.717773877,24.21329556,0.403587892,0.779370756,7.73E+11,237446.8538,-1.321507761,-0.495213023,-0.655550193,0.85761654,,-0.400106749,-10.58813609,-5.308838396
birds,Crateroscelis_robusta,6,FALSE,Tropical,0,0,1,2,18.6,261.9898904,9913.63758,0.721113465,21.61703266,0.414043426,0.778170408,4.63E+11,155592.0158,-0.940946154,-0.633037941,-0.588854101,0.764143247,,-0.443101683,-10.04647432,-5.269810467
birds,Gerygone_chrysogaster,5,TRUE,Tropical,0,0,1,1,8,253.5181619,11345.6356,0.71818742,26.30648092,0.413434666,0.779037618,9.15E+11,543697.7699,-1.480254545,-0.034683727,-0.694471095,1.201075006,,-0.34324,-10.72697197,-5.113496354
birds,Gerygone_cinerea,1,FALSE,Tropical,0,0,1,2,7.6,264.5879346,9263.921694,0.731861362,21.25330356,0.397196092,0.781036331,4.05E+11,121701.3205,-0.91520998,-0.837010842,-0.542541916,1.194898721,,-0.558742158,-10.10824174,-5.265857948
birds,Gerygone_flavolateralis,5,FALSE,Tropical,0,0,1,2,6.3,163.1094801,8967.919641,0.567913941,22.74965596,3.692785863,0.718685029,6.58E+11,30009.1032,-0.532506523,-0.565501571,1.302517168,0.736485609,,-11.27292,-22.71464,-19.18904038
birds,Gerygone_fusca,2,FALSE,Mixed,0,0,0,5,5.4,32.63237137,1600.867382,0.467190858,20.52723681,31.06584327,0.585498818,1.94E+11,3748895.685,1.458058655,1.10039939,1.477629765,1.000048867,,-16.42921088,-38.58688106,-27.04408631
birds,Gerygone_igata,1,FALSE,Temperate,0,0,1,3,6.4,131.6351052,2955.41948,0.685873298,9.774295831,15.03443379,0.628181887,4.45E+11,268886.321,0.61606221,-0.644130226,-0.160415058,1.353676664,,-34.13552,-48.01951,-41.77309449
birds,Gerygone_levigaster,3,FALSE,Mixed,0,0,0,3,6.2,109.2085858,15778.36155,0.520318607,24.35122324,9.279990809,0.659766509,4.19E+11,342254.5225,0.010519003,0.607320217,1.669637492,0.679102363,,-7.35869127,-33.34355903,-17.91085487
birds,Gerygone_magnirostris,13,FALSE,Tropical,0,0,1,1,6.8,244.1535933,5832.000466,0.724194919,26.61123853,0.10191757,0.8109551,6.85E+11,2524.1587,-1.616216587,-1.998974203,-0.110708358,0.987227198,,-0.62683,-1.21704,-0.937317866
birds,Gerygone_mouki,3,FALSE,Mixed,0,0,0,3,5.2,88.27742793,8946.417554,0.433946215,18.13828083,16.46616609,0.630346856,5.87E+11,368029.9128,0.447830428,0.538621326,2.338661358,0.678120182,,-12.75475347,-38.31905924,-27.91373372
birds,Gerygone_olivacea,3,TRUE,Mixed,0,0,0,3,6.75,66.90104112,7949.783781,0.498521963,21.89685416,17.9663871,0.618469448,3.37E+11,2357355.06,0.64168093,0.744941945,1.425299824,0.758566457,,-7.862981831,-39.13894011,-22.91942785
birds,Gerygone_palpebrosa,6,TRUE,Mixed,0,0,1,3,7.4,179.3538348,13446.50073,0.593162903,24.44524521,5.573084275,0.712820283,6.28E+11,969049.7484,-0.424057201,0.912739745,0.657946623,0.940590858,,-0.00769,-27.20822133,-11.54006673
birds,Gerygone_ruficollis,2,FALSE,Tropical,0,0,1,2,7,247.2970327,9887.036044,0.717019834,21.59567326,0.45374798,0.774773511,5.01E+11,102782.0064,-0.940382118,-0.744778792,-0.356547536,1.193042412,,-0.437010856,-10.14514407,-5.543256435
birds,Gerygone_sulphurea,4,TRUE,Tropical,0,0,1,2,5.6,202.7376773,19643.88668,0.611900244,25.70332227,0.484141133,0.753715163,6.60E+11,1074819.77,-1.074767788,0.665933716,0.496254017,1.070012373,,18.65094374,-10.77514023,1.951670858
birds,Gerygone_tenebrosa,3,FALSE,Mixed,0,0,0,2,7.7,22.80049347,2000.215625,0.506866178,25.06017515,19.5598241,0.619815542,1.10E+11,39186.7011,0.775815436,-1.226920585,1.721032583,0.380711488,,-16.31282999,-26.23600953,-21.20850772
birds,Hylacola_cauta,1,FALSE,Temperate,0,0,0,4,15.23333333,27.81345506,505.547308,0.50248542,16.59349009,24.94756014,0.593374899,2.09E+11,972035.7185,1.449091293,0.062486557,1.096257831,0.536032529,,-29.01517761,-38.10873211,-33.03218487
birds,Hylacola_pyrrhopygia,1,FALSE,Temperate,0,0,0,3,16.8,54.34976787,1672.164619,0.464790023,15.18706008,25.54761986,0.600103881,4.42E+11,767894.0534,1.050752286,0.097928218,1.538814412,0.335054242,,-27.5623046,-39.13894,-33.99649607
birds,Mohoua_albicilla,1,FALSE,Temperate,0,0,1,1,17.65,129.2312062,2623.166316,0.688277613,11.42067818,13.60115685,0.624412262,5.90E+11,36122.7066,0.24464654,-1.747022007,-0.062395645,0.654714639,,-36.16779992,-41.61786966,-39.08804281
birds,Mohoua_novaeseelandiae,1,FALSE,Temperate,0,0,1,3,12.2,168.9795465,4510.712139,0.683130102,7.92075927,15.904259,0.623211809,4.21E+11,76988.1073,0.510508326,-0.862768122,0.070770888,0.942011212,,-40.50011994,-47.28604003,-43.67942705
birds,Mohoua_ochrocephala,1,FALSE,Temperate,0,1,1,2,27.75,181.5019973,3334.754513,0.737623362,6.939640673,14.25099336,0.624729545,3.75E+11,16920.0601,0.369654609,-1.836291071,-0.363880901,0.55437344,,-41.01434,-46.49521,-45.19378678
