"","sp","DR","ssp","lat","region","age","genus","Family","Order","eltonO","eltonF"
"39","Accipiter_melanochlamys",-2.0347760309348,2,-5.30693509,"Tropical",3.027006016,"Accipiter","Accipitridae","Accipitriformes","Accipitriformes","Accipitridae"
"40","Accipiter_melanoleucus",-2.13326205550044,2,-5.510014997,"Mixed",2.564975483,"Accipiter","Accipitridae","Accipitriformes","Accipitriformes","Accipitridae"
"41","Accipiter_meyerianus",-2.02876809624707,1,-4.7636492,"Tropical",3.027006016,"Accipiter","Accipitridae","Accipitriformes","Accipitriformes","Accipitridae"
"42","Accipiter_minullus",-1.86768951884496,1,-9.713794283,"Mixed",12.56714028,"Accipiter","Accipitridae","Accipitriformes","Accipitriformes","Accipitridae"
"43","Accipiter_nisus",-1.9647654761739,6,52.60348888,"Temperate",2.918596945,"Accipiter","Accipitridae","Accipitriformes","Accipitriformes","Accipitridae"
"44","Accipiter_novaehollandiae",-1.85939147472104,23,-12.4575464,"Mixed",5.159772519,"Accipiter","Accipitridae","Accipitriformes","Accipitriformes","Accipitridae"
"45","Accipiter_ovampensis",-2.17629426446942,1,-8.056253369,"Mixed",2.918596945,"Accipiter","Accipitridae","Accipitriformes","Accipitriformes","Accipitridae"
"46","Accipiter_poliocephalus",-2.22507909743422,1,-5.317749212,"Tropical",3.163905916,"Accipiter","Accipitridae","Accipitriformes","Accipitriformes","Accipitridae"
"47","Accipiter_rhodogaster",-2.21820005858593,3,-1.762069582,"Tropical",23.25951261,"Accipiter","Accipitridae","Accipitriformes","Accipitriformes","Accipitridae"
"48","Accipiter_rufitorques",-2.15656240615329,2,-17.45031151,"Tropical",14.97805016,"Accipiter","Accipitridae","Accipitriformes","Accipitriformes","Accipitridae"
"49","Accipiter_rufiventris",-1.75186636241362,2,-7.014538888,"Mixed",3.163905916,"Accipiter","Accipitridae","Accipitriformes","Accipitriformes","Accipitridae"
"50","Accipiter_soloensis",-2.31734874290209,1,24.93557679,"Mixed",0.2983130213,"Accipiter","Accipitridae","Accipitriformes","Accipitriformes","Accipitridae"
"51","Accipiter_striatus",-1.85516431118161,7,35.43550764,"Mixed",5.258373176,"Accipiter","Accipitridae","Accipitriformes","Accipitriformes","Accipitridae"
"52","Accipiter_superciliosus",-2.33921933741132,2,2.892320876,"Mixed",28.54943979,"Accipiter","Accipitridae","Accipitriformes","Accipitriformes","Accipitridae"
"53","Accipiter_tachiro",-2.34640582769556,5,-5.469251459,"Mixed",11.75192554,"Accipiter","Accipitridae","Accipitriformes","Accipitriformes","Accipitridae"
"54","Accipiter_trinotatus",-2.02263778721838,11,-1.808468709,"Tropical",10.83215097,"Accipiter","Accipitridae","Accipitriformes","Accipitriformes","Accipitridae"
"55","Accipiter_trivirgatus",-2.36229857004003,11,13.91795713,"Mixed",0.5708719835,"Accipiter","Accipitridae","Accipitriformes","Accipitriformes","Accipitridae"
"56","Accipiter_virgatus",-1.35525278703579,11,22.08439856,"Mixed",0.04940889755,"Accipiter","Accipitridae","Accipitriformes","Accipitriformes","Accipitridae"
"57","Aceros_cassidix",-2.50656878600693,1,-2.132952206,"Tropical",0.0749488305,"Aceros","Bucerotidae","Bucerotiformes","Bucerotiformes","Bucerotidae"
"58","Aceros_comatus",-2.96319656920285,1,1.731199098,"Tropical",6.645488762,"Aceros","Bucerotidae","Bucerotiformes","Bucerotiformes","Bucerotidae"
"59","Aceros_corrugatus",-2.45160835730408,1,0.711598243,"Tropical",7.22354787,"Aceros","Bucerotidae","Bucerotiformes","Bucerotiformes","Bucerotidae"
"60","Aceros_leucocephalus",-2.55238529071181,1,7.714840168,"Tropical",11.58441337,"Aceros","Bucerotidae","Bucerotiformes","Bucerotiformes","Bucerotidae"
"61","Aceros_nipalensis",-2.85416975709874,1,22.7715701,"Mixed",11.02395292,"Aceros","Bucerotidae","Bucerotiformes","Bucerotiformes","Bucerotidae"
"62","Aceros_plicatus",-2.04056042277594,5,-6.24966998,"Tropical",2.386773448,"Aceros","Bucerotidae","Bucerotiformes","Bucerotiformes","Bucerotidae"
"63","Aceros_subruficollis",-2.3993350163625,1,14.22788421,"Tropical",16.10457827,"Aceros","Bucerotidae","Bucerotiformes","Bucerotiformes","Bucerotidae"
"64","Aceros_undulatus",-2.04514794230317,1,9.930742311,"Mixed",2.386773448,"Aceros","Bucerotidae","Bucerotiformes","Bucerotiformes","Bucerotidae"
"65","Achaetops_pycnopygius",-2.71173915959677,2,-19.61945955,"Mixed",10.7765083,"Achaetops","Macrosphenidae","Passeriformes","Passeriformes","Sylviidae"
"66","Acridotheres_cristatellus",0.109862061586793,3,26.65240554,"Mixed",0.4811242174,"Acridotheres","Sturnidae","Passeriformes","Passeriformes","Sturnidae"
"67","Acridotheres_fuscus",-0.324685217031447,4,21.74761184,"Mixed",0.4654372259,"Acridotheres","Sturnidae","Passeriformes","Passeriformes","Sturnidae"
"68","Acridotheres_ginginianus",-1.08579720728832,1,25.97957703,"Mixed",1.453969698,"Acridotheres","Sturnidae","Passeriformes","Passeriformes","Sturnidae"
"69","Acridotheres_grandis",0.109862061586793,8,17.41113151,"Mixed",0.4811242174,"Acridotheres","Sturnidae","Passeriformes","Passeriformes","Sturnidae"
"70","Acrobatornis_fonsecai",-1.96690812199675,1,-15.16908911,"Tropical",8.612158582,"Acrobatornis","Furnariidae","Passeriformes","",""
"71","Acrocephalus_aedon",-2.24308484691848,2,50.10614292,"Temperate",12.08304831,"Acrocephalus","Acrocephalidae","Passeriformes","Passeriformes","Sylviidae"
"72","Acrocephalus_agricola",-1.87179727723842,3,45.86678853,"Temperate",5.078252113,"Acrocephalus","Acrocephalidae","Passeriformes","Passeriformes","Sylviidae"
"73","Acrocephalus_arundinaceus",-1.52785004466168,3,46.1505769,"Temperate",3.228231933,"Acrocephalus","Acrocephalidae","Passeriformes","Passeriformes","Sylviidae"
"74","Acrocephalus_australis",-0.290350773784699,4,-27.69699796,"Mixed",1.026059179,"Acrocephalus","Acrocephalidae","Passeriformes","Passeriformes","Sylviidae"
"75","Acrocephalus_bistrigiceps",-1.93817082125503,2,43.08081067,"Mixed",8.641155405,"Acrocephalus","Acrocephalidae","Passeriformes","Passeriformes","Sylviidae"
"76","Acrocephalus_brevipennis",-0.918024264105967,1,15.18076126,"Tropical",0.5744192974,"Acrocephalus","Acrocephalidae","Passeriformes","Passeriformes","Sylviidae"
"77","Acrocephalus_concinens",-1.5945853259537,3,30.51788907,"Mixed",4.626276029,"Acrocephalus","Acrocephalidae","Passeriformes","Passeriformes","Sylviidae"
"78","Acrocephalus_dumetorum",-1.77633330102716,1,48.11031184,"Temperate",0.1935815925,"Acrocephalus","Acrocephalidae","Passeriformes","Passeriformes","Sylviidae"
"79","Acrocephalus_gracilirostris",-1.44077415558661,8,-13.82180006,"Mixed",2.732488727,"Acrocephalus","Acrocephalidae","Passeriformes","Passeriformes","Sylviidae"
"80","Acrocephalus_griseldis",-2.13615062847195,1,32.1761939,"Temperate",8.943732379,"Acrocephalus","Acrocephalidae","Passeriformes","Passeriformes","Sylviidae"
"81","Acrocephalus_melanopogon",-1.84233637398615,3,41.26502215,"Temperate",5.107193591,"Acrocephalus","Acrocephalidae","Passeriformes","Passeriformes","Sylviidae"
"82","Acrocephalus_newtoni",-1.29756075028241,1,-19.38232101,"Mixed",2.500066662,"Acrocephalus","Acrocephalidae","Passeriformes","Passeriformes","Sylviidae"
"83","Acrocephalus_paludicola",-1.94286692017715,1,55.24178005,"Temperate",0.3555435774,"Acrocephalus","Acrocephalidae","Passeriformes","Passeriformes","Sylviidae"
"84","Acrocephalus_palustris",-1.96815050954598,1,51.95685885,"Temperate",0.1737609906,"Acrocephalus","Acrocephalidae","Passeriformes","Passeriformes","Sylviidae"
"85","Acrocephalus_rufescens",-0.90792251325031,4,1.08795619,"Tropical",0.5744192974,"Acrocephalus","Acrocephalidae","Passeriformes","Passeriformes","Sylviidae"
"86","Acrocephalus_schoenobaenus",-1.8835237184435,1,56.04149635,"Temperate",2.185662058,"Acrocephalus","Acrocephalidae","Passeriformes","Passeriformes","Sylviidae"
"87","Acrocephalus_scirpaceus",-1.36723856279291,2,15.81812792,"Mixed",0.4814280314,"Acrocephalus","Acrocephalidae","Passeriformes","Passeriformes","Sylviidae"
"88","Acrocephalus_stentoreus",-1.27423196153828,10,25.6875444,"Mixed",2.476179784,"Acrocephalus","Acrocephalidae","Passeriformes","Passeriformes","Sylviidae"
"89","Acropternis_orthonyx",-2.87073928298777,2,1.598284151,"Tropical",14.58082714,"Acropternis","Rhinocryptidae","Passeriformes","Passeriformes","Rhinocryptidae"
"90","Acryllium_vulturinum",-3.41902807825325,1,4.170447585,"Tropical",9.832922748,"Acryllium","Numididae","Galliformes","Galliformes","Numididae"
"91","Actenoides_bougainvillei",-1.95110585519313,2,-8.003007816,"Tropical",2.3419161,"Actenoides","Alcedinidae","Coraciiformes","Coraciiformes","Alcedinidae"
"92","Actenoides_concretus",-2.13721025541149,3,1.222264408,"Tropical",3.641907899,"Actenoides","Alcedinidae","Coraciiformes","Coraciiformes","Alcedinidae"
"93","Actenoides_hombroni",-1.98862969138159,1,7.798539063,"Tropical",2.3419161,"Actenoides","Alcedinidae","Coraciiformes","Coraciiformes","Alcedinidae"
"94","Actenoides_lindsayi",-2.0893982851348,2,14.76769847,"Tropical",0.3923611138,"Actenoides","Alcedinidae","Coraciiformes","Coraciiformes","Alcedinidae"
"95","Actinodura_egertoni",-1.4489746601856,4,26.29956048,"Mixed",2.687439888,"Actinodura","Leiotrichidae","Passeriformes","Passeriformes","Timaliidae"
"96","Actinodura_morrisoniana",-1.16488001587449,1,23.79579599,"Mixed",1.462859793,"Actinodura","Leiotrichidae","Passeriformes","Passeriformes","Timaliidae"
"97","Actinodura_nipalensis",-1.62662971321746,2,28.05950327,"Temperate",2.656844956,"Actinodura","Leiotrichidae","Passeriformes","Passeriformes","Timaliidae"
"98","Actinodura_ramsayi",-1.41721541925777,4,21.57245584,"Mixed",2.687439888,"Actinodura","Leiotrichidae","Passeriformes","Passeriformes","Timaliidae"
"99","Actinodura_waldeni",-0.569626601778564,4,25.80603947,"Mixed",0.6785781895,"Actinodura","Leiotrichidae","Passeriformes","Passeriformes","Timaliidae"
"100","Actitis_hypoleucos",-3.11511623473135,1,55.26417073,"Temperate",16.8013598,"Actitis","Scolopacidae","Charadriiformes","Charadriiformes","Scolopacidae"
"101","Actophilornis_africanus",-2.92109479004469,1,-3.718122325,"Mixed",18.65643959,"Actophilornis","Jacanidae","Charadriiformes","Charadriiformes","Jacanidae"
"102","Actophilornis_albinucha",-2.92109479004469,1,-16.5557389,"Tropical",18.65643959,"Actophilornis","Jacanidae","Charadriiformes","Charadriiformes","Jacanidae"
"103","Adelomyia_melanogenys",-2.50883521374215,8,-4.423519267,"Mixed",9.086139623,"Adelomyia","Trochilidae","Apodiformes","Apodiformes","Trochilidae"
"104","Aechmophorus_clarkii",-2.97387404011608,2,36.89011589,"Mixed",7.343352592,"Aechmophorus","Podicipedidae","Podicipediformes","Podicipediformes","Podicipedidae"
"105","Aechmophorus_occidentalis",-2.97387404011608,2,34.72450323,"Mixed",7.343352592,"Aechmophorus","Podicipedidae","Podicipediformes","Podicipediformes","Podicipedidae"
"106","Aegithalos_caudatus",-2.25131012804109,19,51.080425,"Mixed",5.666635888,"Aegithalos","Aegithalidae","Passeriformes","Passeriformes","Aegithalidae"
"107","Aegithalos_concinnus",-2.26415501199355,6,26.94811433,"Mixed",5.872845543,"Aegithalos","Aegithalidae","Passeriformes","Passeriformes","Aegithalidae"
"108","Aegithalos_fuliginosus",-1.06663544932722,1,31.86399399,"Temperate",0.5707597337,"Aegithalos","Aegithalidae","Passeriformes","Passeriformes","Aegithalidae"
"109","Aegithalos_iouschistos",-1.06663544932722,4,28.39246771,"Temperate",0.5707597337,"Aegithalos","Aegithalidae","Passeriformes","Passeriformes","Aegithalidae"
"110","Aegithalos_leucogenys",-2.26415501199355,1,33.14411497,"Temperate",5.872845543,"Aegithalos","Aegithalidae","Passeriformes","Passeriformes","Aegithalidae"
"111","Aegithalos_niveogularis",-1.72271593581282,1,32.01407807,"Temperate",1.640767491,"Aegithalos","Aegithalidae","Passeriformes","Passeriformes","Aegithalidae"
"112","Aegithina_nigrolutea",-2.46980319312197,1,24.09607426,"Mixed",1.565917833,"Aegithina","Aegithinidae","Passeriformes","Passeriformes","Aegithinidae"
"113","Aegithina_tiphia",-2.50859957555804,11,15.53763972,"Mixed",1.614775228,"Aegithina","Aegithinidae","Passeriformes","Passeriformes","Aegithinidae"
"114","Aegithina_viridissima",-2.56740561589356,2,1.017557475,"Tropical",10.16291794,"Aegithina","Aegithinidae","Passeriformes","Passeriformes","Aegithinidae"
"115","Aegolius_acadicus",-2.63318422213595,5,46.63594052,"Mixed",9.042651305,"Aegolius","Strigidae","Strigiformes","Strigiformes","Strigidae"
"116","Aegolius_funereus",-3.18761910044099,6,57.44475363,"Temperate",10.23204966,"Aegolius","Strigidae","Strigiformes","Strigiformes","Strigidae"
"117","Aegolius_harrisii",-2.72117096989619,3,-26.59334049,"Mixed",9.042651305,"Aegolius","Strigidae","Strigiformes","Strigiformes","Strigidae"
"118","Aegotheles_albertisi",-3.56013735292556,3,-6.748299001,"Tropical",24.26479699,"Aegotheles","Aegothelidae","Caprimulgiformes","Apodiformes","Aegothelidae"
"119","Aegotheles_archboldi",-3.19987916308615,1,-4.188203949,"Tropical",10.40586996,"Aegotheles","Aegothelidae","Caprimulgiformes","Apodiformes","Aegothelidae"
"120","Aegotheles_bennettii",-3.27329116016738,5,-5.802299022,"Tropical",18.62363478,"Aegotheles","Aegothelidae","Caprimulgiformes","Apodiformes","Aegothelidae"
"121","Aegotheles_crinifrons",-3.5864526104483,2,0.706603397,"Tropical",21.09751778,"Aegotheles","Aegothelidae","Caprimulgiformes","Apodiformes","Aegothelidae"
"122","Aegotheles_cristatus",-3.28697944536537,2,-25.67899252,"Mixed",18.62363478,"Aegotheles","Aegothelidae","Caprimulgiformes","Apodiformes","Aegothelidae"
"123","Aegotheles_insignis",-3.67254325411776,2,-5.299650014,"Tropical",23.83529576,"Aegotheles","Aegothelidae","Caprimulgiformes","Apodiformes","Aegothelidae"
