"sp","DR","ssp","lat"
"Aegithalos_concinnus",0.0877165973556088,6,26.94811433
"Aegithalos_fuliginosus",0.28410032897862,1,31.86399399
"Aegithalos_iouschistos",0.28410032897862,4,28.39246771
"Aegithalos_leucogenys",0.0877165973556088,1,33.14411497
"Aegithalos_niveogularis",0.154583234270858,1,32.01407807
"Aegithina_nigrolutea",0.164182160421402,1,24.09607426
"Aegithina_tiphia",0.094200334047174,11,15.53763972
"Aegithina_viridissima",0.0509773063726821,2,1.017557475
"Aegolius_acadicus",0.0522380132009532,5,46.63594052
"Aegolius_funereus",0.0506640875406514,6,57.44475363
"Aegolius_harrisii",0.0522380132009532,3,-26.59334049
"Aegotheles_albertisi",0.028987611510457,3,-6.748299001
"Aegotheles_archboldi",0.0445400912701418,1,-4.188203949
"Aegotheles_bennettii",0.0388067011149173,5,-5.802299022
"Aegotheles_crinifrons",0.0303823411244864,2,0.706603397
"Aegotheles_cristatus",0.0388067011149173,2,-25.67899252
"Aegotheles_insignis",0.0263003702224127,2,-5.299650014
"Aegotheles_wallacii",0.0445400912701418,3,-4.464793262
"Aegypius_monachus",0.111036764283126,1,39.62483195
"Aenigmatolimnas_marginalis",0.0846096716679083,1,-8.551309131
"Aepypodius_arfakianus",0.0551406238962495,2,-5.280617427
"Aeronautes_andecolus",0.0668787430700449,3,-23.74850891
"Aeronautes_montivagus",0.0876298607977838,2,1.666749335
"Aeronautes_saxatalis",0.0876298607977838,2,33.7449534
"Aethopyga_boltoni",0.0801337981175562,3,7.323541202
"Aethopyga_christinae",0.118985397939314,3,25.34192213
"Aethopyga_flagrans",0.109937977849308,4,14.97181299
"Aethopyga_gouldiae",0.109937977849308,4,26.40854971
"Aethopyga_ignicauda",0.0780987907935924,2,26.3240809
"Aethopyga_linaraborae",0.0726973882772749,1,7.392208033
"Aethopyga_mystacalis",0.124343887624319,2,0.529341054
"Aethopyga_nipalensis",0.123196255432732,9,24.13384269
"Aethopyga_pulcherrima",0.204555663610118,3,11.82967914
"Aethopyga_saturata",0.0726973882772749,10,21.03981927
"Aethopyga_shelleyi",0.204555663610118,7,9.942483746
"Aethopyga_siparaja",0.123196255432732,16,14.19076266
"Afropavo_congensis",0.0630540382094143,1,-0.797470772
"Agamia_agami",0.0684929673230048,1,5.866714527
"Agapornis_pullarius",0.111888964986864,2,4.593552791
"Agelaius_humeralis",0.248234873310312,2,21.55598937
"Agelaius_phoeniceus",0.169187382546628,26,45.29552014
"Agelaius_tricolor",0.194343752042997,1,38.364541
"Agelastes_meleagrides",0.0845128489336291,1,6.417769541
"Agelastes_niger",0.0845128489336291,1,1.096557313
"Aglaeactis_castelnaudii",0.439766329151248,2,-11.6013013
"Aglaeactis_cupripennis",0.146131375418109,2,-5.120226624
"Aglaeactis_pamela",0.439766329151248,1,-16.87734713
"Aglaiocercus_coelestis",0.233443119051345,2,1.595676414
"Aglaiocercus_kingi",0.233443119051345,7,-2.056139448
"Aimophila_notosticta",0.241775664017731,1,17.08396932
"Aimophila_rufescens",0.17128913087141,7,14.98205568
"Aimophila_ruficeps",0.241775664017731,12,29.22017927
"Aix_galericulata",0.204804100241954,1,42.14841407
"Aix_sponsa",0.204804100241954,1,42.90496343
"Alaemon_alaudipes",0.0711026753132554,4,25.7291495
"Alauda_arvensis",0.13841866232038,12,48.12243796
"Alauda_gulgula",0.397025398540401,12,29.40961824
"Alcedo_argentata",0.315458808473805,2,8.381949947
"Alcedo_atthis",0.185043447061822,7,24.2805496
"Alcedo_azurea",0.260888555264418,8,-20.14849417
"Alcedo_cristata",0.206405941030706,3,-3.461952091
"Alcedo_euryzona",0.0914957116080318,2,1.032379613
"Alcedo_leucogaster",0.130213659541587,4,1.831697114
